site,season,burned,tsf,ndvi_abs,ndvi_het
CG-005,16_2,prefire,-17,0.268,0.0392
CG-006,16_2,prefire,-17,0.277,0.0379
CG-016,16_2,prefire,-17,0.289,0.0497
CG-017,16_2,prefire,-17,0.232,0.0514
CG-018,16_2,prefire,-17,0.313,0.0276
CG-019,16_2,prefire,-17,0.23,0.0374
CG-020,16_2,prefire,-17,0.273,0.0397
CG-029,16_2,prefire,-17,0.326,0.0457
CG-030,16_2,prefire,-17,0.337,0.0379
CG-031,16_2,prefire,-17,0.304,0.0372
CG-033,16_2,prefire,-17,0.294,0.0453
CG-042,16_2,prefire,-17,0.283,0.035
CG-044,16_2,prefire,-17,0.34,0.0449
CG-045,16_2,prefire,-17,0.313,0.043
CG-047,16_2,prefire,-17,0.313,0.0352
CG-048,16_2,prefire,-17,0.301,0.0385
CG-056,16_2,prefire,-17,0.291,0.0498
CG-057,16_2,prefire,-17,0.319,0.0398
CG-058,16_2,prefire,-17,0.326,0.0535
CG-059,16_2,prefire,-17,0.351,0.0276
CG-069,16_2,prefire,-17,0.336,0.0333
CG-070,16_2,prefire,-17,0.31,0.0374
CG-071,16_2,prefire,-17,0.333,0.0324
CG-073,16_2,prefire,-17,0.307,0.0383
CG-074,16_2,prefire,-17,0.342,0.034
CG-075,16_2,prefire,-17,0.322,0.0356
CG-084,16_2,prefire,-17,0.356,0.0291
CG-085,16_2,prefire,-17,0.334,0.0351
CG-088,16_2,prefire,-17,0.304,0.0381
CG-089,16_2,prefire,-17,0.314,0.0342
CG-090,16_2,prefire,-17,0.301,0.0406
CG-092,16_2,prefire,-17,0.333,0.0415
CG-096,16_2,prefire,-17,0.286,0.0337
CG-097,16_2,prefire,-17,0.269,0.0694
CG-098,16_2,prefire,-17,0.304,0.046
CG-102,16_2,prefire,-17,0.272,0.0484
CG-103,16_2,prefire,-17,0.287,0.0446
CO-TR,16_2,prefire,-5,0.172,0.0189
DO-CA3,16_2,prefire,-5,0.177,0.0241
DR-SP2,16_2,prefire,-5,0.164,0.025
EA-MW2,16_2,prefire,-5,0.153,0.0296
FR-RO,16_2,prefire,-5,0.175,0.0276
GY-FO,16_2,prefire,-5,0.168,0.0138
IR-ME1,16_2,prefire,-5,0.178,0.0205
IRC01,16_2,prefire,-5,0.138,0.0238
IRC02,16_2,prefire,-5,0.174,0.0292
IRC03,16_2,prefire,-5,0.177,0.0282
IRC04,16_2,prefire,-5,0.176,0.0237
IRC05,16_2,prefire,-5,0.172,0.024
IRC06,16_2,prefire,-5,0.182,0.0262
IRC07,16_2,prefire,-5,0.18,0.0255
IRC09,16_2,prefire,-5,0.159,0.0166
IRC10,16_2,prefire,-5,0.186,0.0243
IRC12,16_2,prefire,-5,0.18,0.036
IRC13,16_2,prefire,-5,0.173,0.0176
LI-ME2,16_2,prefire,-5,0.19,0.0208
LO-WE2,16_2,prefire,-5,0.178,0.0317
MO-FR1,16_2,prefire,-5,0.175,0.0276
OR-LO,16_2,prefire,-5,0.153,0.0358
OV-TR,16_2,prefire,-5,0.156,0.0252
RO-CA2,16_2,prefire,-5,0.164,0.0177
SO-GY,16_2,prefire,-5,0.176,0.0204
UP-WE,16_2,prefire,-5,0.169,0.0243
WE-TR1,16_2,prefire,-5,0.19,0.0352
WE-TR3,16_2,prefire,-5,0.172,0.03
AG-CH,16_3,prefire,-4,0.147,0.0264
AU-TR,16_3,prefire,-4,0.144,0.0289
BO-SP,16_3,prefire,-4,0.138,0.0258
BO-TR,16_3,prefire,-4,0.142,0.0254
CG-001,16_3,prefire,-16,0.215,0.0673
CG-002,16_3,prefire,-16,0.183,0.0402
CG-003,16_3,prefire,-16,0.201,0.0558
CG-004,16_3,prefire,-16,0.29,0.0416
CG-005,16_3,prefire,-16,0.257,0.0442
CG-006,16_3,prefire,-16,0.254,0.0446
CG-016,16_3,prefire,-16,0.278,0.054
CG-017,16_3,prefire,-16,0.226,0.0493
CG-018,16_3,prefire,-16,0.301,0.0359
CG-019,16_3,prefire,-16,0.22,0.0376
CG-020,16_3,prefire,-16,0.263,0.0441
CG-029,16_3,prefire,-16,0.313,0.0504
CG-030,16_3,prefire,-16,0.325,0.0438
CG-031,16_3,prefire,-16,0.29,0.0453
CG-033,16_3,prefire,-16,0.288,0.0505
CG-042,16_3,prefire,-16,0.274,0.0435
CG-044,16_3,prefire,-16,0.333,0.0462
CG-045,16_3,prefire,-16,0.286,0.0568
CG-047,16_3,prefire,-16,0.302,0.0417
CG-048,16_3,prefire,-16,0.29,0.0383
CG-056,16_3,prefire,-16,0.259,0.0539
CG-057,16_3,prefire,-16,0.307,0.055
CG-058,16_3,prefire,-16,0.302,0.0765
CG-059,16_3,prefire,-16,0.344,0.0355
CG-069,16_3,prefire,-16,0.327,0.0471
CG-070,16_3,prefire,-16,0.296,0.0496
CG-071,16_3,prefire,-16,0.323,0.0414
CG-073,16_3,prefire,-16,0.296,0.0463
CG-074,16_3,prefire,-16,0.332,0.0429
CG-075,16_3,prefire,-16,0.31,0.0383
CG-084,16_3,prefire,-16,0.344,0.0357
CG-085,16_3,prefire,-16,0.311,0.0441
CG-088,16_3,prefire,-16,0.29,0.0516
CG-089,16_3,prefire,-16,0.291,0.0399
CG-090,16_3,prefire,-16,0.285,0.05
CG-092,16_3,prefire,-16,0.32,0.0454
CG-096,16_3,prefire,-16,0.269,0.0361
CG-097,16_3,prefire,-16,0.263,0.0683
CG-098,16_3,prefire,-16,0.3,0.0462
CG-102,16_3,prefire,-16,0.257,0.0467
CG-103,16_3,prefire,-16,0.267,0.0448
CO-TR,16_3,prefire,-4,0.136,0.0221
DO-CA3,16_3,prefire,-4,0.132,0.0336
DR-SP2,16_3,prefire,-4,0.118,0.029
EA-MW2,16_3,prefire,-4,0.127,0.0287
FR-RO,16_3,prefire,-4,0.143,0.0303
GY-FO,16_3,prefire,-4,0.145,0.025
IR-ME1,16_3,prefire,-4,0.149,0.0224
IRC01,16_3,prefire,-4,0.112,0.026
IRC02,16_3,prefire,-4,0.144,0.0338
IRC03,16_3,prefire,-4,0.14,0.0291
IRC04,16_3,prefire,-4,0.144,0.0223
IRC05,16_3,prefire,-4,0.145,0.0233
IRC06,16_3,prefire,-4,0.153,0.0254
IRC07,16_3,prefire,-4,0.149,0.0237
IRC09,16_3,prefire,-4,0.13,0.0215
IRC10,16_3,prefire,-4,0.148,0.0247
IRC12,16_3,prefire,-4,0.15,0.0287
IRC13,16_3,prefire,-4,0.14,0.0181
LI-ME2,16_3,prefire,-4,0.149,0.0274
LO-WE2,16_3,prefire,-4,0.145,0.034
MO-FR1,16_3,prefire,-4,0.145,0.0299
OR-LO,16_3,prefire,-4,0.127,0.0386
OV-TR,16_3,prefire,-4,0.123,0.0255
RO-CA2,16_3,prefire,-4,0.127,0.0298
SO-GY,16_3,prefire,-4,0.139,0.0329
UP-WE,16_3,prefire,-4,0.136,0.0286
WE-TR1,16_3,prefire,-4,0.158,0.0364
WE-TR3,16_3,prefire,-4,0.142,0.0309
AG-CH,16_4,prefire,-3,0.142,0.0314
AU-TR,16_4,prefire,-3,0.151,0.0381
BO-SP,16_4,prefire,-3,0.145,0.0271
BO-TR,16_4,prefire,-3,0.147,0.0294
CG-001,16_4,prefire,-15,0.254,0.0917
CG-002,16_4,prefire,-15,0.255,0.0748
CG-003,16_4,prefire,-15,0.2,0.0728
CG-004,16_4,prefire,-15,0.269,0.0607
CG-005,16_4,prefire,-15,0.227,0.0614
CG-006,16_4,prefire,-15,0.192,0.0806
CG-016,16_4,prefire,-15,0.26,0.0752
CG-017,16_4,prefire,-15,0.219,0.0549
CG-018,16_4,prefire,-15,0.286,0.0691
CG-019,16_4,prefire,-15,0.187,0.0533
CG-020,16_4,prefire,-15,0.247,0.0803
